GEOID,Total,White alone,White proportion,Black or African American alone,Black/AA proportion
120010007001000,0,0,0,0,0
120010007001001,0,0,0,0,0
120010007001002,0,0,0,0,0
120010007001003,5,1,0.2,4,0.8
120010007001004,2,0,0,1,0.5
120010007001005,0,0,0,0,0
120010007001006,0,0,0,0,0
120010007001007,42,0,0,40,0.952380952380952
120010007001008,16,0,0,14,0.875
120010007001009,40,7,0.175,31,0.775
120010007001010,7,0,0,4,0.571428571428571
120010007001011,32,5,0.15625,26,0.8125
120010007001012,14,0,0,11,0.785714285714286
120010007001013,36,7,0.194444444444444,29,0.805555555555556
120010007001014,23,11,0.478260869565217,11,0.478260869565217
120010007001015,6,3,0.5,1,0.166666666666667
120010007001016,0,0,0,0,0
120010007001017,0,0,0,0,0
120010007001018,0,0,0,0,0
120010007001019,0,0,0,0,0
120010007001020,15,9,0.6,5,0.333333333333333
120010007001021,0,0,0,0,0
120010007001022,0,0,0,0,0
120010007001023,0,0,0,0,0
120010007001024,12,1,0.083333333333333,10,0.833333333333333
120010007001025,15,1,0.066666666666667,12,0.8
120010007001026,3,1,0.333333333333333,2,0.666666666666667
120010007001027,20,5,0.25,10,0.5
120010007001028,10,0,0,9,0.9
120010007001029,18,0,0,16,0.888888888888889
120010007001030,39,0,0,39,1
120010007001031,32,0,0,24,0.75
120010007001032,49,0,0,44,0.897959183673469
120010007001033,38,1,0.026315789473684,37,0.973684210526316
120010007001034,47,0,0,47,1
120010007001035,56,0,0,56,1
120010007001036,3,0,0,2,0.666666666666667
120010007001037,9,0,0,8,0.888888888888889
120010007001038,1,0,0,1,1
120010007002000,37,2,0.054054054054054,33,0.891891891891892
120010007002001,22,0,0,21,0.954545454545455
120010007002002,0,0,0,0,0
120010007002003,17,0,0,17,1
120010007002004,10,0,0,10,1
120010007002005,1,0,0,1,1
120010007002006,12,6,0.5,6,0.5
120010007002007,11,8,0.727272727272727,1,0.090909090909091
120010007002008,12,3,0.25,9,0.75
120010007002009,9,0,0,6,0.666666666666667
120010007002010,5,0,0,5,1
120010007002011,0,0,0,0,0
120010007002012,2,0,0,2,1
120010007002013,0,0,0,0,0
120010007002014,0,0,0,0,0
120010007002015,5,4,0.8,1,0.2
120010007002016,11,11,1,0,0
120010007002017,3,0,0,0,0
120010007002018,0,0,0,0,0
120010007002019,1,0,0,1,1
120010007002020,0,0,0,0,0
120010007002021,0,0,0,0,0
120010007002022,0,0,0,0,0
120010007002023,0,0,0,0,0
120010007002024,0,0,0,0,0
120010007002025,0,0,0,0,0
120010007002026,12,7,0.583333333333333,3,0.25
120010007002027,3,2,0.666666666666667,1,0.333333333333333
120010007002028,9,5,0.555555555555556,4,0.444444444444444
120010007002029,0,0,0,0,0
120010007002030,0,0,0,0,0
120010007002031,0,0,0,0,0
120010007002032,84,14,0.166666666666667,64,0.761904761904762
120010007002033,7,0,0,7,1
120010007002034,6,0,0,6,1
120010007002035,8,2,0.25,5,0.625
120010007002036,0,0,0,0,0
120010007002037,10,1,0.1,9,0.9
120010007002038,35,5,0.142857142857143,30,0.857142857142857
120010007002039,29,0,0,28,0.96551724137931
120010007002040,16,7,0.4375,9,0.5625
120010007002041,0,0,0,0,0
120010007002042,0,0,0,0,0
120010007002043,8,0,0,7,0.875
120010007002044,15,2,0.133333333333333,13,0.866666666666667
120010007002045,8,2,0.25,5,0.625
120010007002046,16,2,0.125,13,0.8125
120010007002047,0,0,0,0,0
120010007002048,0,0,0,0,0
120010007002049,18,4,0.222222222222222,13,0.722222222222222
120010007002050,16,0,0,16,1
120010007002051,20,3,0.15,16,0.8
120010007002052,8,0,0,8,1
120010007002053,0,0,0,0,0
120010007002054,0,0,0,0,0
120010007002055,4,0,0,0,0
120010007002056,14,0,0,12,0.857142857142857
120010007002057,17,0,0,15,0.882352941176471
120010007002058,27,0,0,26,0.962962962962963
120010007002059,33,0,0,32,0.96969696969697
120010007002060,15,0,0,15,1
120010007002061,15,0,0,15,1
120010007002062,11,2,0.181818181818182,8,0.727272727272727
120010007002063,0,0,0,0,0
120010007002064,0,0,0,0,0
120010007002065,1,0,0,1,1
120010007002066,0,0,0,0,0
120010007002067,0,0,0,0,0
120010007002068,22,16,0.727272727272727,4,0.181818181818182
120010007002069,9,0,0,6,0.666666666666667
120010007002070,0,0,0,0,0
120010007002071,0,0,0,0,0
120010007002072,9,1,0.111111111111111,6,0.666666666666667
120010007002073,37,3,0.081081081081081,34,0.918918918918919
120010007002074,12,0,0,11,0.916666666666667
120010007002075,14,3,0.214285714285714,11,0.785714285714286
120010007002076,9,2,0.222222222222222,4,0.444444444444444
120010007002077,13,0,0,11,0.846153846153846
120010007002078,24,6,0.25,17,0.708333333333333
120010007002079,104,14,0.134615384615385,83,0.798076923076923
120010007002080,30,15,0.5,15,0.5
120010007002081,73,0,0,66,0.904109589041096
120010007002082,10,4,0.4,6,0.6
120010007002083,6,2,0.333333333333333,0,0
120010007002084,89,5,0.056179775280899,77,0.865168539325843
120010007002085,0,0,0,0,0
120010007002086,0,0,0,0,0
120010007002087,0,0,0,0,0
120010007002088,0,0,0,0,0
120010007002089,0,0,0,0,0
120010007002090,27,3,0.111111111111111,17,0.62962962962963
120010007002091,39,4,0.102564102564103,30,0.769230769230769
120010007002092,79,30,0.379746835443038,45,0.569620253164557
120010007002093,70,18,0.257142857142857,37,0.528571428571429
120010007002094,9,0,0,6,0.666666666666667
120010007002095,34,12,0.352941176470588,18,0.529411764705882
120010007003000,0,0,0,0,0
120010007003001,0,0,0,0,0
120010007003002,0,0,0,0,0
120010007003003,30,15,0.5,5,0.166666666666667
120010007003004,40,11,0.275,23,0.575
120010007003005,46,7,0.152173913043478,38,0.826086956521739
120010007003006,0,0,0,0,0
120010007003007,75,12,0.16,62,0.826666666666667
120010007003008,64,2,0.03125,62,0.96875
120010007003009,0,0,0,0,0
120010007003010,0,0,0,0,0
120010007003011,0,0,0,0,0
120010007003012,46,19,0.41304347826087,23,0.5
120010007003013,0,0,0,0,0
120010007003014,0,0,0,0,0
120010007003015,64,24,0.375,37,0.578125
120010007003016,19,10,0.526315789473684,6,0.31578947368421
120010007003017,0,0,0,0,0
120010007003018,19,2,0.105263157894737,15,0.789473684210526
120010007003019,99,0,0,92,0.929292929292929
120010007003020,60,0,0,57,0.95
120010007003021,36,0,0,36,1
120010007003022,28,0,0,22,0.785714285714286
120010007003023,34,0,0,31,0.911764705882353
120010007003024,63,1,0.015873015873016,59,0.936507936507936
120010007003025,54,0,0,54,1
120010007003026,88,2,0.022727272727273,82,0.931818181818182
120010007003027,72,0,0,65,0.902777777777778
120010007003028,37,0,0,36,0.972972972972973
120010007003029,41,5,0.121951219512195,32,0.780487804878049
120010007003030,368,6,0.016304347826087,335,0.910326086956522
120010007003031,0,0,0,0,0
120010007003032,0,0,0,0,0
120010007003033,34,0,0,31,0.911764705882353
120010007003034,41,2,0.048780487804878,37,0.902439024390244
120010007003035,42,0,0,40,0.952380952380952
120010007003036,52,2,0.038461538461539,50,0.961538461538462
120010007003037,60,0,0,57,0.95
120010007003038,70,3,0.042857142857143,64,0.914285714285714
120010007003039,37,0,0,32,0.864864864864865
120010007003040,34,0,0,33,0.970588235294118
120010007003041,0,0,0,0,0
120010007003042,174,130,0.747126436781609,27,0.155172413793103
120010007003043,0,0,0,0,0
120010007003044,126,12,0.095238095238095,104,0.825396825396825
120010007003045,93,32,0.344086021505376,58,0.623655913978495
120010007003046,0,0,0,0,0
120010007003047,9,3,0.333333333333333,4,0.444444444444444
120010007004000,0,0,0,0,0
120010007004001,0,0,0,0,0
120010007004002,131,75,0.572519083969466,51,0.389312977099237
120010007004003,13,6,0.461538461538462,0,0
120010007004004,92,29,0.315217391304348,51,0.554347826086957
120010007004005,0,0,0,0,0
120010007004006,25,1,0.04,15,0.6
120010007004007,0,0,0,0,0
120010007004008,44,6,0.136363636363636,34,0.772727272727273
